PDB_ID,Experimental_Method
5VPR,X-RAY DIFFRACTION
6RLU,X-RAY DIFFRACTION
4DR3,X-RAY DIFFRACTION
8F21,ELECTRON MICROSCOPY
7GYN,X-RAY DIFFRACTION
1RPN,X-RAY DIFFRACTION
1TSW,X-RAY DIFFRACTION
7ZYU,X-RAY DIFFRACTION
4RLF,X-RAY DIFFRACTION
8IKR,X-RAY DIFFRACTION
6FDR,X-RAY DIFFRACTION
8I8P,X-RAY DIFFRACTION
5ZIE,X-RAY DIFFRACTION
6V4K,X-RAY DIFFRACTION
1SWZ,X-RAY DIFFRACTION
7DKF,ELECTRON MICROSCOPY
3EBH,X-RAY DIFFRACTION
2C56,X-RAY DIFFRACTION
6MTB,ELECTRON MICROSCOPY
1B51,X-RAY DIFFRACTION
8BA8,ELECTRON MICROSCOPY
1GNX,X-RAY DIFFRACTION
3M6Q,X-RAY DIFFRACTION
7DQT,X-RAY DIFFRACTION
1Y89,X-RAY DIFFRACTION
5XB2,X-RAY DIFFRACTION
3CQ8,X-RAY DIFFRACTION
3USE,X-RAY DIFFRACTION
4UXX,X-RAY DIFFRACTION
8GR3,X-RAY DIFFRACTION
4PM7,X-RAY DIFFRACTION
1L46,X-RAY DIFFRACTION
3JAJ,ELECTRON MICROSCOPY
4B4M,X-RAY DIFFRACTION
4C75,X-RAY DIFFRACTION
8R6S,ELECTRON MICROSCOPY
2QLE,X-RAY DIFFRACTION
3Q4G,X-RAY DIFFRACTION
3AIS,X-RAY DIFFRACTION
3K79,X-RAY DIFFRACTION
8FC1,X-RAY DIFFRACTION
2PUE,X-RAY DIFFRACTION
1RH3,X-RAY DIFFRACTION
6UZL,ELECTRON MICROSCOPY
8K37,ELECTRON MICROSCOPY
2OBI,X-RAY DIFFRACTION
9F1C,ELECTRON MICROSCOPY
5D85,X-RAY DIFFRACTION
2XPE,X-RAY DIFFRACTION
8E82,ELECTRON MICROSCOPY
1RTV,X-RAY DIFFRACTION
1DBX,X-RAY DIFFRACTION
4XSC,X-RAY DIFFRACTION
1TQG,X-RAY DIFFRACTION
4Z4K,X-RAY DIFFRACTION
8XW9,X-RAY DIFFRACTION
1RCH,SOLUTION NMR
3R6I,X-RAY DIFFRACTION
1MP3,X-RAY DIFFRACTION
4U55,X-RAY DIFFRACTION
8DG4,ELECTRON MICROSCOPY
3GBX,X-RAY DIFFRACTION
4WT1,X-RAY DIFFRACTION
7A8C,X-RAY DIFFRACTION
1SSY,X-RAY DIFFRACTION
8QQW,ELECTRON MICROSCOPY
6RH1,X-RAY DIFFRACTION
1M5T,X-RAY DIFFRACTION
3FA0,X-RAY DIFFRACTION
1PCS,X-RAY DIFFRACTION
3MHY,X-RAY DIFFRACTION
3SYM,X-RAY DIFFRACTION
5O7G,X-RAY DIFFRACTION
4KBJ,X-RAY DIFFRACTION
5CDN,X-RAY DIFFRACTION
5CMP,X-RAY DIFFRACTION
6HWN,X-RAY DIFFRACTION
2ONE,X-RAY DIFFRACTION
2K29,SOLUTION NMR
6V7U,X-RAY DIFFRACTION
8EXT,ELECTRON MICROSCOPY
4R3W,X-RAY DIFFRACTION
7P4A,X-RAY DIFFRACTION
1TSX,X-RAY DIFFRACTION
1TEH,X-RAY DIFFRACTION
8B2O,X-RAY DIFFRACTION
4ZX3,X-RAY DIFFRACTION
7A6Z,X-RAY DIFFRACTION
4U95,X-RAY DIFFRACTION
4O2X,X-RAY DIFFRACTION
1L38,X-RAY DIFFRACTION
3C2T,X-RAY DIFFRACTION
6UU9,X-RAY DIFFRACTION
9BGY,ELECTRON MICROSCOPY
5ROH,X-RAY DIFFRACTION
8G38,ELECTRON MICROSCOPY
4OPQ,X-RAY DIFFRACTION
5AVV,X-RAY DIFFRACTION
8BCW,ELECTRON MICROSCOPY
1T3I,X-RAY DIFFRACTION
1RF7,X-RAY DIFFRACTION
7UOI,X-RAY DIFFRACTION
2PD5,X-RAY DIFFRACTION
1EBG,X-RAY DIFFRACTION
8I8E,ELECTRON MICROSCOPY
5H5J,X-RAY DIFFRACTION
7SW5,ELECTRON CRYSTALLOGRAPHY
3ZUQ,X-RAY DIFFRACTION
1D2M,X-RAY DIFFRACTION
6LOJ,X-RAY DIFFRACTION
5OGZ,X-RAY DIFFRACTION
7UYY,X-RAY DIFFRACTION
2J5T,X-RAY DIFFRACTION
4DBU,X-RAY DIFFRACTION
3U09,X-RAY DIFFRACTION
8HRT,X-RAY DIFFRACTION
1S5D,X-RAY DIFFRACTION
7QFX,X-RAY DIFFRACTION
4V66,ELECTRON MICROSCOPY
4RPL,X-RAY DIFFRACTION
7YQ7,X-RAY DIFFRACTION
7L01,X-RAY DIFFRACTION
2J3M,X-RAY DIFFRACTION
2PYI,X-RAY DIFFRACTION
6H2J,X-RAY DIFFRACTION
5ZNJ,X-RAY DIFFRACTION
3HZA,X-RAY DIFFRACTION
8CRX,ELECTRON MICROSCOPY
1JIX,X-RAY DIFFRACTION
8RAS,ELECTRON MICROSCOPY
2HQK,X-RAY DIFFRACTION
2QV0,X-RAY DIFFRACTION
4LMA,X-RAY DIFFRACTION
9J1M,ELECTRON MICROSCOPY
4ZW7,X-RAY DIFFRACTION
5ZZC,X-RAY DIFFRACTION
6IB1,ELECTRON MICROSCOPY
5A21,ELECTRON MICROSCOPY
197L,X-RAY DIFFRACTION
5TKY,X-RAY DIFFRACTION
1SU4,X-RAY DIFFRACTION
6XJ8,X-RAY DIFFRACTION
4C48,X-RAY DIFFRACTION
2I4O,X-RAY DIFFRACTION
6GO9,X-RAY DIFFRACTION
8G3S,X-RAY DIFFRACTION
1U1U,X-RAY DIFFRACTION
6E0L,X-RAY DIFFRACTION
4W7A,X-RAY DIFFRACTION
6JN4,X-RAY DIFFRACTION
4XLF,X-RAY DIFFRACTION
1BEU,X-RAY DIFFRACTION
5VHO,ELECTRON MICROSCOPY
3T4U,X-RAY DIFFRACTION
3VV5,X-RAY DIFFRACTION
4EPF,X-RAY DIFFRACTION
3TEC,X-RAY DIFFRACTION
8EV7,X-RAY DIFFRACTION
5CY1,X-RAY DIFFRACTION
1L06,X-RAY DIFFRACTION
5FHZ,X-RAY DIFFRACTION
1JUJ,X-RAY DIFFRACTION
1J3U,X-RAY DIFFRACTION
8W8P,X-RAY DIFFRACTION
6DER,X-RAY DIFFRACTION
8A8C,ELECTRON MICROSCOPY
5O28,X-RAY DIFFRACTION
3UX8,X-RAY DIFFRACTION
2IVM,X-RAY DIFFRACTION
3ZBE,SOLUTION NMR
3H08,X-RAY DIFFRACTION
2LXK,SOLUTION NMR
2IX1,X-RAY DIFFRACTION
4DXQ,X-RAY DIFFRACTION
5WN3,X-RAY DIFFRACTION
2J8F,X-RAY DIFFRACTION
5AVZ,X-RAY DIFFRACTION
2P02,X-RAY DIFFRACTION
5JRA,X-RAY DIFFRACTION
1SUP,X-RAY DIFFRACTION
5N0C,X-RAY DIFFRACTION
239L,X-RAY DIFFRACTION
6JAK,X-RAY DIFFRACTION
7P50,X-RAY DIFFRACTION
8YP2,X-RAY DIFFRACTION
7SNI,ELECTRON MICROSCOPY
6CCZ,X-RAY DIFFRACTION
7CVX,X-RAY DIFFRACTION
6SDM,X-RAY DIFFRACTION
6SDK,X-RAY DIFFRACTION
5UAQ,X-RAY DIFFRACTION
1BSK,X-RAY DIFFRACTION
4H8N,X-RAY DIFFRACTION
1LQM,X-RAY DIFFRACTION
2XLV,X-RAY DIFFRACTION
3D3X,X-RAY DIFFRACTION
1OF8,X-RAY DIFFRACTION
7ASM,ELECTRON MICROSCOPY
8ENE,ELECTRON MICROSCOPY
6LYQ,X-RAY DIFFRACTION
4GA8,X-RAY DIFFRACTION
7FD4,ELECTRON MICROSCOPY
2W3S,X-RAY DIFFRACTION
6SZZ,X-RAY DIFFRACTION
7UEI,X-RAY DIFFRACTION
3Q25,X-RAY DIFFRACTION
3FCF,X-RAY DIFFRACTION
3TQ9,X-RAY DIFFRACTION
7OUL,X-RAY DIFFRACTION
7MEV,X-RAY DIFFRACTION
4PXL,X-RAY DIFFRACTION
1MYW,X-RAY DIFFRACTION
1APB,X-RAY DIFFRACTION
6TGW,X-RAY DIFFRACTION
4QNV,X-RAY DIFFRACTION
6ALF,ELECTRON MICROSCOPY
3SGC,X-RAY DIFFRACTION
6HHK,X-RAY DIFFRACTION
7D3Z,X-RAY DIFFRACTION
1N7G,X-RAY DIFFRACTION
8APP,X-RAY DIFFRACTION
6O8M,X-RAY DIFFRACTION
3QW7,X-RAY DIFFRACTION
8XPC,X-RAY DIFFRACTION
1XEP,X-RAY DIFFRACTION
5MLB,X-RAY DIFFRACTION
8XLP,ELECTRON MICROSCOPY
5RP3,X-RAY DIFFRACTION
6CTD,X-RAY DIFFRACTION
7SYQ,ELECTRON MICROSCOPY
7W85,ELECTRON MICROSCOPY
4G5D,X-RAY DIFFRACTION
2IPG,X-RAY DIFFRACTION
2VYN,X-RAY DIFFRACTION
2WRZ,X-RAY DIFFRACTION
1H62,X-RAY DIFFRACTION
2QAR,X-RAY DIFFRACTION
4HNR,X-RAY DIFFRACTION
2OX7,X-RAY DIFFRACTION
3OR1,X-RAY DIFFRACTION
1EQM,X-RAY DIFFRACTION
3ZDF,X-RAY DIFFRACTION
2PDH,X-RAY DIFFRACTION
1LWG,X-RAY DIFFRACTION
5KPX,ELECTRON MICROSCOPY
2X0X,X-RAY DIFFRACTION
7L38,X-RAY DIFFRACTION
2O29,X-RAY DIFFRACTION
6U8E,ELECTRON MICROSCOPY
1KRV,X-RAY DIFFRACTION
3SSP,X-RAY DIFFRACTION
1L57,X-RAY DIFFRACTION
5FDK,X-RAY DIFFRACTION
6CL5,X-RAY DIFFRACTION
8U4Z,ELECTRON MICROSCOPY
8Q4D,ELECTRON MICROSCOPY
1AL0,X-RAY DIFFRACTION
2G9V,X-RAY DIFFRACTION
5MA5,X-RAY DIFFRACTION
6MB2,ELECTRON MICROSCOPY
5MOY,X-RAY DIFFRACTION
3AH3,X-RAY DIFFRACTION
2J3K,X-RAY DIFFRACTION
9FCW,X-RAY DIFFRACTION
9C39,ELECTRON MICROSCOPY
5XBH,X-RAY DIFFRACTION
6N0U,X-RAY DIFFRACTION
1OXU,X-RAY DIFFRACTION
3TQO,X-RAY DIFFRACTION
6RHW,X-RAY DIFFRACTION
7LX9,X-RAY DIFFRACTION
9IT3,X-RAY DIFFRACTION
1S2G,X-RAY DIFFRACTION
5KJC,X-RAY DIFFRACTION
2C9M,X-RAY DIFFRACTION
4P2C,X-RAY DIFFRACTION
4P15,X-RAY DIFFRACTION
8T2Z,ELECTRON MICROSCOPY
6P0Y,X-RAY DIFFRACTION
1HL7,X-RAY DIFFRACTION
3C1J,X-RAY DIFFRACTION
5ZQ0,X-RAY DIFFRACTION
7O7X,X-RAY DIFFRACTION
4J2B,X-RAY DIFFRACTION
3DUL,X-RAY DIFFRACTION
6KQL,X-RAY DIFFRACTION
4MI9,X-RAY DIFFRACTION
4ZOH,X-RAY DIFFRACTION
4KOE,X-RAY DIFFRACTION
5WRC,X-RAY DIFFRACTION
6EB7,X-RAY DIFFRACTION
6XHW,X-RAY DIFFRACTION
5JB3,ELECTRON MICROSCOPY
6VLB,X-RAY DIFFRACTION
8HKC,ELECTRON MICROSCOPY
1LWO,X-RAY DIFFRACTION
6S4H,X-RAY DIFFRACTION
7LX8,X-RAY DIFFRACTION
8OYQ,X-RAY DIFFRACTION
4LE5,X-RAY DIFFRACTION
6L1K,X-RAY DIFFRACTION
4DCB,X-RAY DIFFRACTION
1XQS,X-RAY DIFFRACTION
1EMF,X-RAY DIFFRACTION
3GQ8,X-RAY DIFFRACTION
8DH1,X-RAY DIFFRACTION
1EJC,X-RAY DIFFRACTION
4W6H,X-RAY DIFFRACTION
1EF3,X-RAY DIFFRACTION
5ZZU,X-RAY DIFFRACTION
3DWG,X-RAY DIFFRACTION
5MKS,X-RAY DIFFRACTION
1VS3,X-RAY DIFFRACTION
5WNV,X-RAY DIFFRACTION
5XLG,X-RAY DIFFRACTION
2Y5J,X-RAY DIFFRACTION
2W29,X-RAY DIFFRACTION
7K8L,X-RAY DIFFRACTION
6EYH,X-RAY DIFFRACTION
1S2D,X-RAY DIFFRACTION
4XOT,X-RAY DIFFRACTION
4EM6,X-RAY DIFFRACTION
4LT8,X-RAY DIFFRACTION
6FYX,ELECTRON MICROSCOPY
8QQT,ELECTRON MICROSCOPY
7YJW,X-RAY DIFFRACTION
4XD2,X-RAY DIFFRACTION
2VPY,X-RAY DIFFRACTION
3FX4,X-RAY DIFFRACTION
8EMM,ELECTRON MICROSCOPY
6ZXD,ELECTRON MICROSCOPY
2AEO,X-RAY DIFFRACTION
6PU9,X-RAY DIFFRACTION
8ELB,X-RAY DIFFRACTION
2CUZ,X-RAY DIFFRACTION
3TCK,X-RAY DIFFRACTION
4WJV,X-RAY DIFFRACTION
3NCR,X-RAY DIFFRACTION
1L98,X-RAY DIFFRACTION
6HCM,ELECTRON MICROSCOPY
6K2P,X-RAY DIFFRACTION
1MOR,X-RAY DIFFRACTION
6J42,X-RAY DIFFRACTION
1CU3,X-RAY DIFFRACTION
5J4C,X-RAY DIFFRACTION
4CCQ,X-RAY DIFFRACTION
8EHH,X-RAY DIFFRACTION
4Q2U,X-RAY DIFFRACTION
1DIB,X-RAY DIFFRACTION
3O6Y,X-RAY DIFFRACTION
8OVA,ELECTRON MICROSCOPY
7W0H,ELECTRON MICROSCOPY
4EZ8,X-RAY DIFFRACTION
4JWD,X-RAY DIFFRACTION
7W47,X-RAY DIFFRACTION
3JV2,X-RAY DIFFRACTION
1I59,X-RAY DIFFRACTION
3CB9,X-RAY DIFFRACTION
5ETV,X-RAY DIFFRACTION
7UVZ,ELECTRON MICROSCOPY
7JSO,X-RAY DIFFRACTION
2F47,X-RAY DIFFRACTION
2H6U,X-RAY DIFFRACTION
8FVC,X-RAY DIFFRACTION
1O0C,X-RAY DIFFRACTION
5GAH,ELECTRON MICROSCOPY
4DZP,X-RAY DIFFRACTION
6DZP,ELECTRON MICROSCOPY
8G0G,X-RAY DIFFRACTION
1L4E,X-RAY DIFFRACTION
6B6F,X-RAY DIFFRACTION
1IZZ,X-RAY DIFFRACTION
8POY,X-RAY DIFFRACTION
8ZUS,X-RAY DIFFRACTION
2VIB,X-RAY DIFFRACTION
2ID8,X-RAY DIFFRACTION
4MTD,X-RAY DIFFRACTION
2N8N,SOLUTION NMR
2VF4,X-RAY DIFFRACTION
1TEZ,X-RAY DIFFRACTION
1E61,X-RAY DIFFRACTION
6OFM,X-RAY DIFFRACTION
1JBK,X-RAY DIFFRACTION
9KOK,X-RAY DIFFRACTION
6YEZ,ELECTRON MICROSCOPY
4FON,X-RAY DIFFRACTION
4RLI,X-RAY DIFFRACTION
5K2I,X-RAY DIFFRACTION
1L17,X-RAY DIFFRACTION
7GYR,X-RAY DIFFRACTION
6WZV,X-RAY DIFFRACTION
1LAW,X-RAY DIFFRACTION
7YE6,ELECTRON MICROSCOPY
6U49,X-RAY DIFFRACTION
3NON,X-RAY DIFFRACTION
5FCJ,X-RAY DIFFRACTION
5YHS,X-RAY DIFFRACTION
2V43,X-RAY DIFFRACTION
8HT0,X-RAY DIFFRACTION
8BTU,X-RAY DIFFRACTION
3FPL,X-RAY DIFFRACTION
5ROT,X-RAY DIFFRACTION
8GS5,X-RAY DIFFRACTION
1HPM,X-RAY DIFFRACTION
4AZ8,X-RAY DIFFRACTION
5DPI,X-RAY DIFFRACTION
7KM9,X-RAY DIFFRACTION
7VFJ,ELECTRON MICROSCOPY
2PRV,X-RAY DIFFRACTION
6OSU,X-RAY DIFFRACTION
8KBJ,X-RAY DIFFRACTION
4M5I,X-RAY DIFFRACTION
4EKE,X-RAY DIFFRACTION
7TOF,ELECTRON MICROSCOPY
9FUQ,ELECTRON MICROSCOPY
6QMH,X-RAY DIFFRACTION
6ED3,ELECTRON MICROSCOPY
3E2K,X-RAY DIFFRACTION
6XTP,X-RAY DIFFRACTION
6W6E,ELECTRON MICROSCOPY
4HU4,X-RAY DIFFRACTION
2WSW,X-RAY DIFFRACTION
1VST,X-RAY DIFFRACTION
1P37,X-RAY DIFFRACTION
5KVP,SOLUTION NMR
5B4I,X-RAY DIFFRACTION
8GSK,X-RAY DIFFRACTION
6B7D,X-RAY DIFFRACTION
6CGG,X-RAY DIFFRACTION
4F56,X-RAY DIFFRACTION
6HN7,X-RAY DIFFRACTION
5YHY,X-RAY DIFFRACTION
7SW7,ELECTRON CRYSTALLOGRAPHY
1RMP,X-RAY DIFFRACTION
7RF3,X-RAY DIFFRACTION
1Y3F,X-RAY DIFFRACTION
6NBQ,ELECTRON MICROSCOPY
3I4O,X-RAY DIFFRACTION
5OGU,SOLUTION NMR
6K7D,X-RAY DIFFRACTION
7YOG,X-RAY DIFFRACTION
4X4S,X-RAY DIFFRACTION
5FKU,ELECTRON MICROSCOPY
1EZO,SOLUTION NMR
8Y5I,ELECTRON MICROSCOPY
1Z0V,X-RAY DIFFRACTION
6UKL,X-RAY DIFFRACTION
4YVI,X-RAY DIFFRACTION
3FDI,X-RAY DIFFRACTION
1PJ8,X-RAY DIFFRACTION
3HRD,X-RAY DIFFRACTION
2E0C,X-RAY DIFFRACTION
1DR4,X-RAY DIFFRACTION
1SBP,X-RAY DIFFRACTION
7KER,X-RAY DIFFRACTION
6VLC,X-RAY DIFFRACTION
7Z4A,ELECTRON MICROSCOPY
2XKJ,X-RAY DIFFRACTION
2V5G,X-RAY DIFFRACTION
5AUS,X-RAY DIFFRACTION
7F9O,ELECTRON MICROSCOPY
2EFY,X-RAY DIFFRACTION
4ZZ1,X-RAY DIFFRACTION
1F4F,X-RAY DIFFRACTION
4L87,X-RAY DIFFRACTION
1QT7,X-RAY DIFFRACTION
4KIE,X-RAY DIFFRACTION
5OUK,X-RAY DIFFRACTION
1NXV,X-RAY DIFFRACTION
4ZYD,X-RAY DIFFRACTION
5JUT,ELECTRON MICROSCOPY
4XZH,X-RAY DIFFRACTION
146L,X-RAY DIFFRACTION
5KLL,X-RAY DIFFRACTION
1FDD,X-RAY DIFFRACTION
7R4X,ELECTRON MICROSCOPY
1P1R,X-RAY DIFFRACTION
7XUI,ELECTRON MICROSCOPY
7NAV,ELECTRON MICROSCOPY
3ZNY,X-RAY DIFFRACTION
7UEE,X-RAY DIFFRACTION
3WUH,X-RAY DIFFRACTION
4EWD,X-RAY DIFFRACTION
1Q50,X-RAY DIFFRACTION
7K2Y,X-RAY DIFFRACTION
6GGV,X-RAY DIFFRACTION
6NYV,X-RAY DIFFRACTION
4RLY,X-RAY DIFFRACTION
5NGM,ELECTRON MICROSCOPY
8TT2,X-RAY DIFFRACTION
6RUN,X-RAY DIFFRACTION
6C5U,X-RAY DIFFRACTION
6QO3,X-RAY DIFFRACTION
7XOO,ELECTRON MICROSCOPY
3GJ2,X-RAY DIFFRACTION
7F3B,X-RAY DIFFRACTION
7YAH,ELECTRON MICROSCOPY
8P8E,X-RAY DIFFRACTION
3SFT,X-RAY DIFFRACTION
3TQW,X-RAY DIFFRACTION
7RUM,X-RAY DIFFRACTION
6SPE,ELECTRON MICROSCOPY
8RKX,ELECTRON MICROSCOPY
6KFZ,X-RAY DIFFRACTION
6BAV,X-RAY DIFFRACTION
4EF2,X-RAY DIFFRACTION
5B2H,X-RAY DIFFRACTION
7KH6,X-RAY DIFFRACTION
2AKW,X-RAY DIFFRACTION
3LWL,X-RAY DIFFRACTION
3HE3,X-RAY DIFFRACTION
8WFV,X-RAY DIFFRACTION
3FJG,X-RAY DIFFRACTION
7EY7,ELECTRON MICROSCOPY
7RKH,ELECTRON MICROSCOPY
4YPN,X-RAY DIFFRACTION
1EVK,X-RAY DIFFRACTION
8UQM,ELECTRON MICROSCOPY
5HY3,X-RAY DIFFRACTION
7OF6,ELECTRON MICROSCOPY
9KEV,ELECTRON MICROSCOPY
6CHM,X-RAY DIFFRACTION
6QWC,X-RAY DIFFRACTION
5DG0,X-RAY DIFFRACTION
5D02,X-RAY DIFFRACTION
1MI3,X-RAY DIFFRACTION
1MQ7,X-RAY DIFFRACTION
3ENO,X-RAY DIFFRACTION
4W57,X-RAY DIFFRACTION
1Z6P,X-RAY DIFFRACTION
7MGX,X-RAY DIFFRACTION
1P5U,X-RAY DIFFRACTION
8UU5,ELECTRON MICROSCOPY
3BYD,X-RAY DIFFRACTION
6HMW,X-RAY DIFFRACTION
2NWQ,X-RAY DIFFRACTION
4YQI,X-RAY DIFFRACTION
4KO1,X-RAY DIFFRACTION
4E1B,X-RAY DIFFRACTION
6QC3,ELECTRON MICROSCOPY
6KQN,X-RAY DIFFRACTION
4HB5,X-RAY DIFFRACTION
8W5H,ELECTRON MICROSCOPY
8BB1,ELECTRON MICROSCOPY
1KTQ,X-RAY DIFFRACTION
6RUR,X-RAY DIFFRACTION
8YDB,ELECTRON MICROSCOPY
8RQU,X-RAY DIFFRACTION
4GC1,X-RAY DIFFRACTION
7W49,X-RAY DIFFRACTION
5W4M,X-RAY DIFFRACTION
2BUP,X-RAY DIFFRACTION
6B1W,X-RAY DIFFRACTION
7O9L,X-RAY DIFFRACTION
6IR6,X-RAY DIFFRACTION
2ZXT,X-RAY DIFFRACTION
5K42,X-RAY DIFFRACTION
9GCS,ELECTRON MICROSCOPY
8PJ3,ELECTRON MICROSCOPY
2NTS,X-RAY DIFFRACTION
1QQN,X-RAY DIFFRACTION
5EYP,X-RAY DIFFRACTION
6MIT,X-RAY DIFFRACTION
6E3C,SOLUTION NMR
8PCJ,X-RAY DIFFRACTION
6M6A,ELECTRON MICROSCOPY
3QC7,X-RAY DIFFRACTION
7VWZ,ELECTRON MICROSCOPY
5GHU,X-RAY DIFFRACTION
2HQA,X-RAY DIFFRACTION
122L,X-RAY DIFFRACTION
8D4O,X-RAY DIFFRACTION
7OW8,ELECTRON MICROSCOPY
8WFU,X-RAY DIFFRACTION
2EIW,X-RAY DIFFRACTION
7JWW,X-RAY DIFFRACTION
7KYY,X-RAY DIFFRACTION
2ONJ,X-RAY DIFFRACTION
7BOI,ELECTRON MICROSCOPY
7YJQ,X-RAY DIFFRACTION
3TM0,X-RAY DIFFRACTION
3H0R,X-RAY DIFFRACTION
6LES,X-RAY DIFFRACTION
3MP6,X-RAY DIFFRACTION
6JIG,X-RAY DIFFRACTION
7DP4,X-RAY DIFFRACTION
1IW1,X-RAY DIFFRACTION
6IFO,X-RAY DIFFRACTION
1YFT,X-RAY DIFFRACTION
3I4S,X-RAY DIFFRACTION
5TTD,X-RAY DIFFRACTION
6PMU,X-RAY DIFFRACTION
4LSE,X-RAY DIFFRACTION
1DUV,X-RAY DIFFRACTION
3UZW,X-RAY DIFFRACTION
2KCE,X-RAY DIFFRACTION
2B7X,X-RAY DIFFRACTION
6BNE,X-RAY DIFFRACTION
6VVZ,ELECTRON MICROSCOPY
1YE4,X-RAY DIFFRACTION
2QWN,X-RAY DIFFRACTION
8Y0X,ELECTRON MICROSCOPY
4JJP,X-RAY DIFFRACTION
1JHP,X-RAY DIFFRACTION
1WUL,X-RAY DIFFRACTION
3CFP,X-RAY DIFFRACTION
5WN4,X-RAY DIFFRACTION
7S1K,ELECTRON MICROSCOPY
2N45,SOLUTION NMR
5WSC,X-RAY DIFFRACTION
6P4H,ELECTRON MICROSCOPY
4XOW,X-RAY DIFFRACTION
1RFZ,X-RAY DIFFRACTION
1BUP,X-RAY DIFFRACTION
7PD8,ELECTRON MICROSCOPY
5JRY,X-RAY DIFFRACTION
4ELG,X-RAY DIFFRACTION
177L,X-RAY DIFFRACTION
6QUJ,X-RAY DIFFRACTION
2R37,X-RAY DIFFRACTION
5I6D,X-RAY DIFFRACTION
8TSY,X-RAY DIFFRACTION
6YV6,X-RAY DIFFRACTION
5Y19,X-RAY DIFFRACTION
4OZL,X-RAY DIFFRACTION
6QOC,X-RAY DIFFRACTION
1D0Q,X-RAY DIFFRACTION
2PDP,X-RAY DIFFRACTION
3GR4,X-RAY DIFFRACTION
1PDZ,X-RAY DIFFRACTION
1DKZ,X-RAY DIFFRACTION
3LA1,X-RAY DIFFRACTION
3QR9,X-RAY DIFFRACTION
4XJY,X-RAY DIFFRACTION
156L,X-RAY DIFFRACTION
4YQ3,X-RAY DIFFRACTION
1YHI,X-RAY DIFFRACTION
5RPT,X-RAY DIFFRACTION
3SDS,X-RAY DIFFRACTION
8VW9,ELECTRON MICROSCOPY
3KSB,X-RAY DIFFRACTION
4WXF,X-RAY DIFFRACTION
5K6R,X-RAY DIFFRACTION
2OYT,X-RAY DIFFRACTION
6QA0,X-RAY DIFFRACTION
3CD1,X-RAY DIFFRACTION
7CKQ,ELECTRON MICROSCOPY
7GYC,X-RAY DIFFRACTION
4KQI,X-RAY DIFFRACTION
1QU7,X-RAY DIFFRACTION
6WRS,ELECTRON MICROSCOPY
1DVO,X-RAY DIFFRACTION
4Q3J,X-RAY DIFFRACTION
7NNY,X-RAY DIFFRACTION
5C32,X-RAY DIFFRACTION
6Q3U,X-RAY DIFFRACTION
2NOP,X-RAY DIFFRACTION
5W6H,X-RAY DIFFRACTION
1Z5G,X-RAY DIFFRACTION
7XON,ELECTRON MICROSCOPY
2XHL,X-RAY DIFFRACTION
4L1W,X-RAY DIFFRACTION
8IRB,X-RAY DIFFRACTION
5ZQM,X-RAY DIFFRACTION
2A1K,X-RAY DIFFRACTION
6B05,X-RAY DIFFRACTION
4D81,X-RAY DIFFRACTION
2OA0,X-RAY DIFFRACTION
3QIN,X-RAY DIFFRACTION
6BZ7,X-RAY DIFFRACTION
6Z9O,X-RAY DIFFRACTION
3TPD,X-RAY DIFFRACTION
1A8R,X-RAY DIFFRACTION
3D3F,X-RAY DIFFRACTION
5OU2,X-RAY DIFFRACTION
1CSP,X-RAY DIFFRACTION
8PCU,X-RAY DIFFRACTION
6UQO,ELECTRON MICROSCOPY
8EU4,X-RAY DIFFRACTION
1XTC,X-RAY DIFFRACTION
8XAR,X-RAY DIFFRACTION
7Y1U,X-RAY DIFFRACTION
9B41,ELECTRON MICROSCOPY
3KVL,X-RAY DIFFRACTION
3BV7,X-RAY DIFFRACTION
7SSL,ELECTRON MICROSCOPY
7ZHG,ELECTRON MICROSCOPY
1OH8,X-RAY DIFFRACTION
3AOI,X-RAY DIFFRACTION
7RL8,X-RAY DIFFRACTION
5IQB,X-RAY DIFFRACTION
7ZDP,ELECTRON MICROSCOPY
7SSW,ELECTRON MICROSCOPY
5KCP,X-RAY DIFFRACTION
1FA6,X-RAY DIFFRACTION
7TF6,ELECTRON MICROSCOPY
3BVF,X-RAY DIFFRACTION
8CPB,X-RAY DIFFRACTION
5X5J,X-RAY DIFFRACTION
1IDD,X-RAY DIFFRACTION
5FT1,X-RAY DIFFRACTION
7ROG,ELECTRON MICROSCOPY
1BD6,SOLUTION NMR
2KTQ,X-RAY DIFFRACTION
8Q0G,ELECTRON MICROSCOPY
4HI1,X-RAY DIFFRACTION
7DQR,X-RAY DIFFRACTION
8C92,ELECTRON MICROSCOPY
7GYM,X-RAY DIFFRACTION
2JLF,X-RAY DIFFRACTION
1KWF,X-RAY DIFFRACTION
4EMV,X-RAY DIFFRACTION
5OAY,SOLUTION NMR
4B4U,X-RAY DIFFRACTION
2INE,X-RAY DIFFRACTION
4NE4,X-RAY DIFFRACTION
5LTC,X-RAY DIFFRACTION
7W9Y,X-RAY DIFFRACTION
4N9K,X-RAY DIFFRACTION
1RB3,X-RAY DIFFRACTION
3J7P,ELECTRON MICROSCOPY
6H91,X-RAY DIFFRACTION
3L3O,X-RAY DIFFRACTION
3H22,X-RAY DIFFRACTION
7PAQ,ELECTRON MICROSCOPY
4V9D,X-RAY DIFFRACTION
5IDI,X-RAY DIFFRACTION
5YH7,X-RAY DIFFRACTION
3COR,X-RAY DIFFRACTION
2FWQ,X-RAY DIFFRACTION
